price,date,gameId
0.00,1597333746,200898
price,date,gameId
0.00,1597333746,200898
price,date,gameId
0.00,1597333746,200898
price,date,gameId
0.00,1597333746,200898
price,date,gameId
0.00,1597333746,200898
price,date,gameId
0.00,1597333746,200898
price,date,gameId
0.00,1597333746,200898
